id,year,statistic,team,value
448,1951,Home Runs,Cleveland,140.0
449,1951,Home Runs,New York,140.0
450,1951,On Base Percentage,Boston,0.358
451,1951,Runs,Boston,804.0
452,1951,Slugging Average,New York,0.408
453,1952,Base on Balls,Philadelphia,683.0
454,1952,Batting Average,New York,0.267
455,1952,Doubles,Boston,233.0
456,1952,Hits,New York,1.0
457,1952,Home Runs,Cleveland,148.0
458,1952,On Base Percentage,Philadelphia,0.343
459,1952,Runs,Cleveland,763.0
460,1952,Slugging Average,Cleveland,0.404
461,1953,Base on Balls,New York,656.0
462,1953,Batting Average,New York,0.273
463,1953,Doubles,Detroit,259.0
464,1953,Hits,Detroit,1.0
465,1953,Home Runs,Cleveland,160.0
466,1953,On Base Percentage,New York,0.359
467,1953,Runs,New York,801.0
468,1953,Slugging Average,New York,0.417
469,1953,Stolen Bases,Chicago,73.0
470,1954,Base on Balls,Boston,654.0
471,1954,Batting Average,New York,0.268
472,1954,Doubles,Boston,244.0
473,1954,Hits,Boston,1.0
474,1954,Home Runs,Cleveland,156.0
475,1954,On Base Percentage,New York,0.351
476,1954,Runs,New York,805.0
477,1954,Slugging Average,New York,0.408
478,1955,Base on Balls,Cleveland,723.0
479,1955,Batting Average,Chicago,0.268
480,1955,Doubles,Boston,241.0
481,1955,Hits,Detroit,1.0
482,1955,Home Runs,New York,175.0
483,1955,On Base Percentage,Boston,0.354
484,1955,Runs,Detroit,775.0
485,1955,Slugging Average,New York,0.418
486,1956,Base on Balls,Boston,727.0
487,1956,Batting Average,Detroit,0.279
488,1956,Doubles,Boston,261.0
489,1956,Hits,Detroit,1.0
490,1956,Home Runs,New York,190.0
491,1956,On Base Percentage,Boston,0.365
492,1956,Runs,New York,857.0
493,1956,Slugging Average,New York,0.434
494,1957,Base on Balls,Chicago,633.0
495,1957,Batting Average,New York,0.268
496,1957,Doubles,Boston,231.0
497,1957,Hits,New York,1.0
498,1957,Home Runs,Kansas City,166.0
499,1957,On Base Percentage,Chicago,0.347
500,1957,Runs,New York,723.0
501,1957,Slugging Average,New York,0.409
502,1958,Base on Balls,Boston,638.0
503,1958,Batting Average,New York,0.268
504,1958,Doubles,Boston,229.0
505,1958,Doubles,Detroit,229.0
506,1958,Hits,New York,1.0
507,1958,Home Runs,New York,164.0
508,1958,On Base Percentage,Boston,0.34
509,1958,Runs,New York,759.0
510,1958,Slugging Average,New York,0.416
511,1959,Base on Balls,Boston,626.0
512,1959,Batting Average,Kansas City,0.263
513,1959,Doubles,Boston,248.0
514,1959,Hits,New York,1.0
515,1959,Home Runs,Cleveland,167.0
516,1959,On Base Percentage,Detroit,0.338
517,1959,Runs,Cleveland,745.0
518,1959,Slugging Average,Cleveland,0.408
519,1960,Base on Balls,Detroit,636.0
520,1960,Batting Average,Chicago,0.27
521,1960,Doubles,Chicago,242.0
522,1960,Hits,Cleveland,1.0
523,1960,Home Runs,New York,193.0
524,1960,On Base Percentage,Chicago,0.348
525,1960,Runs,New York,746.0
526,1960,Slugging Average,New York,0.426
527,1961,Base on Balls,Los Angeles,681.0
528,1961,Batting Average,Detroit,0.266
529,1961,Doubles,Cleveland,257.0
530,1961,Hits,Cleveland,1.0
531,1961,Home Runs,New York,240.0
532,1961,On Base Percentage,Detroit,0.349
533,1961,Runs,Detroit,841.0
534,1961,Slugging Average,New York,0.442
535,1961,Stolen Bases,Chicago,100.0
536,1962,Base on Balls,Detroit,651.0
537,1962,Batting Average,New York,0.267
538,1962,Doubles,Boston,257.0
539,1962,Hits,New York,1.0
540,1962,Home Runs,Detroit,209.0
541,1962,On Base Percentage,Minnesota,0.34
542,1962,Runs,New York,817.0
543,1962,Slugging Average,New York,0.426
544,1963,Base on Balls,Detroit,592.0
545,1963,Batting Average,Minnesota,0.255
546,1963,Doubles,Boston,247.0
547,1963,Hits,Minnesota,1.0
548,1963,Home Runs,Minnesota,225.0
549,1963,On Base Percentage,Detroit,0.329
550,1963,Runs,Minnesota,767.0
551,1963,Slugging Average,Minnesota,0.43
552,1964,Base on Balls,Chicago,562.0
553,1964,Batting Average,Boston,0.258
554,1964,Doubles,Boston,253.0
555,1964,Hits,New York,1.0
556,1964,Home Runs,Minnesota,221.0
557,1964,On Base Percentage,Minnesota,0.324
558,1964,Runs,Minnesota,737.0
559,1964,Slugging Average,Minnesota,0.427
560,1965,Base on Balls,Boston,607.0
561,1965,Batting Average,Minnesota,0.254
562,1965,Doubles,Minnesota,257.0
563,1965,Hits,Minnesota,1.0
564,1965,Home Runs,Boston,165.0
565,1965,On Base Percentage,Boston,0.329
566,1965,Runs,Minnesota,774.0
567,1965,Slugging Average,Boston,0.4
568,1965,Stolen Bases,Kansas City,110.0
569,1966,Base on Balls,Detroit,551.0
570,1966,Batting Average,Baltimore,0.258
571,1966,Doubles,Baltimore,243.0
572,1966,Hits,Baltimore,1.0
573,1966,Home Runs,Detroit,179.0
574,1966,On Base Percentage,Baltimore,0.325
575,1966,Runs,Baltimore,755.0
576,1966,Slugging Average,Baltimore,0.409
577,1966,Stolen Bases,Chicago,153.0
578,1966,Triples,Kansas City,56.0
579,1967,Base on Balls,Detroit,626.0
580,1967,Batting Average,Boston,0.255
581,1967,Doubles,Boston,216.0
582,1967,Doubles,Minnesota,216.0
583,1967,Hits,Boston,1.0
584,1967,Home Runs,Boston,158.0
585,1967,On Base Percentage,Detroit,0.327
586,1967,Runs,Boston,722.0
587,1967,Slugging Average,Boston,0.395
588,1967,Stolen Bases,Kansas City,132.0
589,1968,Base on Balls,Boston,582.0
590,1968,Batting Average,Oakland,0.24
591,1968,Doubles,Baltimore,215.0
592,1968,Hits,Oakland,1.0
593,1968,Home Runs,Detroit,185.0
594,1968,On Base Percentage,Boston,0.316
595,1968,Runs,Detroit,671.0
596,1968,Slugging Average,Detroit,0.385
597,1969,Base on Balls,Boston,658.0
598,1969,Batting Average,Minnesota,0.268
599,1969,Doubles,Minnesota,246.0
600,1969,Hits,Minnesota,1.0
601,1969,Home Runs,Boston,197.0
602,1969,On Base Percentage,Baltimore,0.346
603,1969,Runs,Minnesota,790.0
604,1969,Slugging Average,Boston,0.415
605,1970,Base on Balls,Baltimore,717.0
606,1970,Batting Average,Minnesota,0.262
607,1970,Doubles,Boston,252.0
608,1970,Hits,Boston,1.0
609,1970,Home Runs,Boston,203.0
610,1970,On Base Percentage,Baltimore,0.346
611,1970,Runs,Baltimore,792.0
612,1970,Slugging Average,Boston,0.428
613,1970,Stolen Bases,Oakland,131.0
614,1970,Triples,Kansas City,41.0
615,1971,Base on Balls,Baltimore,672.0
616,1971,Batting Average,Baltimore,0.261
617,1971,Doubles,Boston,246.0
618,1971,Hits,Minnesota,1.0
619,1971,Home Runs,Detroit,179.0
620,1971,On Base Percentage,Baltimore,0.349
621,1971,Runs,Baltimore,742.0
622,1971,Slugging Average,Detroit,0.405
623,1971,Stolen Bases,Kansas City,130.0
624,1972,Base on Balls,Kansas City,534.0
625,1972,Batting Average,Kansas City,0.255
626,1972,Doubles,Boston,229.0
627,1972,Hits,Kansas City,1.0
628,1972,Home Runs,Oakland,134.0
629,1972,On Base Percentage,Kansas City,0.329
630,1972,Runs,Boston,640.0
631,1972,Slugging Average,Boston,0.376
632,1973,Base on Balls,Baltimore,648.0
633,1973,Batting Average,Minnesota,0.27
634,1973,Doubles,Minnesota,240.0
635,1973,Hits,Minnesota,1.0
636,1973,Home Runs,Cleveland,158.0
637,1973,On Base Percentage,Baltimore,0.348
638,1973,Runs,Oakland,758.0
639,1973,Slugging Average,Boston,0.401
640,1974,Base on Balls,Boston,569.0
641,1974,Batting Average,Texas,0.272
642,1974,Doubles,Boston,236.0
643,1974,Hits,Minnesota,1.0
644,1974,Home Runs,Chicago,135.0
645,1974,On Base Percentage,Texas,0.338
646,1974,Runs,Boston,696.0
647,1974,Slugging Average,Chicago,0.389
648,1975,Base on Balls,Texas,613.0
649,1975,Batting Average,Boston,0.275
650,1975,Doubles,Boston,284.0
651,1975,Hits,Boston,1.0
652,1975,Home Runs,Cleveland,153.0
653,1975,On Base Percentage,Boston,0.347
654,1975,Runs,Boston,796.0
655,1975,Slugging Average,Boston,0.417
656,1976,Base on Balls,Oakland,592.0
657,1976,Batting Average,Minnesota,0.274
658,1976,Doubles,Kansas City,259.0
659,1976,Hits,Minnesota,1.0
660,1976,Home Runs,Boston,134.0
661,1976,On Base Percentage,Minnesota,0.343
662,1976,Runs,Minnesota,743.0
663,1976,Slugging Average,Boston,0.402
664,1977,Base on Balls,Texas,596.0
665,1977,Batting Average,Minnesota,0.282
666,1977,Doubles,Kansas City,299.0
667,1977,Hits,Minnesota,1.0
668,1977,Home Runs,Boston,213.0
669,1977,On Base Percentage,Minnesota,0.351
670,1977,Runs,Minnesota,867.0
671,1977,Slugging Average,Boston,0.465
672,1978,Base on Balls,Texas,624.0
673,1978,Batting Average,Milwaukee,0.276
674,1978,Doubles,Kansas City,305.0
675,1978,Hits,Milwaukee,1.0
676,1978,Home Runs,Milwaukee,173.0
677,1978,On Base Percentage,Milwaukee,0.342
678,1978,Runs,Milwaukee,804.0
679,1978,Slugging Average,Milwaukee,0.432
680,1978,Stolen Bases,Kansas City,216.0
681,1979,Base on Balls,Cleveland,657.0
682,1979,Batting Average,Boston,0.283
683,1979,Doubles,Boston,310.0
684,1979,Hits,Kansas City,1.0
685,1979,Home Runs,Boston,194.0
686,1979,On Base Percentage,California,0.354
687,1979,Runs,California,866.0
688,1979,Slugging Average,Boston,0.456
689,1980,Base on Balls,Detroit,645.0
690,1980,Batting Average,Kansas City,0.286
691,1980,Doubles,Milwaukee,298.0
692,1980,Hits,Kansas City,1.0
693,1980,Home Runs,Milwaukee,203.0
694,1980,On Base Percentage,Cleveland,0.355
695,1980,Runs,Detroit,830.0
696,1980,Slugging Average,Milwaukee,0.448
697,1981,Base on Balls,Baltimore,404.0
698,1981,Base on Balls,Detroit,404.0
699,1981,Batting Average,Boston,0.275
700,1981,Doubles,Texas,178.0
701,1981,Hits,Boston,1.0
702,1981,Home Runs,Oakland,104.0
703,1981,On Base Percentage,Boston,0.343
704,1981,Runs,Boston,519.0
705,1981,Slugging Average,Boston,0.399
706,1982,Base on Balls,Cleveland,651.0
